"place","population","pct_under_18","pct_between_18_64","pct_over_64","male_female_ratio","male","female"
"Buena Park city",68784.0,26.6,65.4,8.0,98.2,33154.0,35630.0
"San Leandro city",68223.0,19.0,61.7,19.3,87.9,25857.0,42366.0
"Mountain View city",67460.0,17.7,72.5,9.8,103.5,36091.0,31369.0
"Newport Beach city",66643.0,13.3,71.2,15.5,96.6,31056.0,35587.0
"Redding city",66462.0,26.9,58.7,14.5,88.1,25322.0,41140.0
"Redwood City city",66072.0,22.0,66.4,11.5,100.0,33036.0,33036.0
"Upland city",63374.0,26.7,64.1,9.2,92.0,26617.0,36757.0
"Carlsbad city",63126.0,21.6,65.3,13.1,100.4,31816.0,31310.0
"El Toro CDP",62685.0,26.3,66.8,6.9,95.1,28271.0,34414.0
"Antioch city",62195.0,30.8,61.5,7.6,94.2,27490.0,34705.0
"Lynwood city",61945.0,37.5,57.3,5.1,100.6,31344.0,30601.0
"Napa city",61842.0,24.6,60.5,14.9,91.1,25417.0,36425.0
"Bellflower city",61815.0,26.0,63.1,10.8,93.5,26890.0,34925.0
"Santa Maria city",61284.0,29.9,58.1,12.0,96.2,28313.0,32971.0
"Monterey Park city",60738.0,22.5,63.7,13.8,91.6,25267.0,35471.0
"Walnut Creek city",60569.0,16.4,60.8,22.8,82.2,19503.0,41066.0
"Redlands city",60394.0,27.0,61.1,11.9,87.8,22829.0,37565.0
"Redondo Beach city",60167.0,16.2,76.6,7.2,104.8,32972.0,27195.0
"Chino city",59682.0,28.2,66.7,5.0,144.3,56280.0,3402.0
"Montebello city",59564.0,27.1,60.9,11.9,90.2,23945.0,35619.0
"Pico Rivera city",59177.0,30.1,60.3,9.6,96.4,27458.0,31719.0
"Florence-Graham CDP",57147.0,39.2,55.3,5.5,101.1,29202.0,27945.0
"Livermore city",56741.0,27.2,65.7,7.1,98.5,27519.0,29222.0
"Merced city",56216.0,34.6,56.4,9.0,93.7,24566.0,31650.0
"Huntington Park city",56065.0,34.5,60.0,5.6,103.8,30163.0,25902.0
"Palo Alto city",55900.0,17.7,66.9,15.5,94.8,25043.0,30857.0
"Encinitas city",55386.0,22.7,68.2,9.1,105.5,30739.0,24647.0
"Spring Valley CDP",55331.0,29.9,61.7,8.4,94.2,24456.0,30875.0
"South San Francisco city",54312.0,24.1,64.5,11.4,93.4,23571.0,30741.0
"National City city",54249.0,27.9,62.7,9.4,117.7,36727.0,17522.0
"Union City city",53762.0,29.6,63.2,7.1,96.1,24784.0,28978.0
"Fountain Valley city",53691.0,23.7,69.1,7.3,97.1,25288.0,28403.0
"Diamond Bar city",53672.0,28.6,67.2,4.2,97.0,25226.0,28446.0
"Cerritos city",53240.0,27.7,66.5,5.7,93.9,23372.0,29868.0
"La Mesa city",52931.0,17.5,64.2,18.3,86.4,19267.0,33664.0
"Santee city",52902.0,28.8,62.9,8.3,94.8,23700.0,29202.0
"Yorba Linda city",52422.0,29.8,65.2,5.0,96.3,24271.0,28151.0
"Hacienda Heights CDP",52354.0,26.4,65.9,7.7,96.4,24292.0,28062.0
"Camarillo city",52303.0,24.4,58.9,16.7,94.9,23484.0,28819.0
"Lodi city",51874.0,25.2,59.1,15.7,94.3,22980.0,28894.0
"Rosemead city",51638.0,30.4,60.7,9.0,96.0,23753.0,27885.0
"La Habra city",51266.0,25.2,64.1,10.7,96.5,23839.0,27427.0
"Tustin city",50689.0,23.9,68.5,7.5,100.0,25344.0,25345.0
"Milpitas city",50686.0,26.6,68.6,4.9,114.6,32743.0,17943.0
"Pleasanton city",50553.0,25.8,68.8,5.4,96.2,23355.0,27198.0
"Hesperia city",50418.0,33.1,55.6,11.3,95.4,22890.0,27528.0
"Clovis city",50323.0,30.7,61.4,7.9,88.5,19374.0,30949.0
"Gardena city",49847.0,23.1,66.0,10.9,95.8,22830.0,27017.0
"South Whittier CDP",49514.0,31.2,61.1,7.8,100.1,24807.0,24707.0
"Santa Cruz city",49040.0,18.3,71.6,10.1,96.6,22853.0,26187.0
"Rancho Cordova CDP",48731.0,27.6,64.4,8.0,91.3,20126.0,28605.0
"Carmichael CDP",48702.0,23.2,63.1,13.7,84.7,16900.0,31802.0
"Castro Valley CDP",48619.0,22.4,62.5,15.0,90.4,19642.0,28977.0
"San Rafael city",48404.0,17.4,68.7,13.9,95.1,21830.0,26574.0
"Arcadia city",48290.0,21.6,62.3,16.1,85.8,17288.0,31002.0
"Glendora city",47828.0,26.4,63.0,10.6,92.1,20136.0,27692.0
"Paramount city",47669.0,35.0,58.7,6.2,98.4,23072.0,24597.0
"Novato city",47585.0,24.9,65.3,9.8,90.6,19320.0,28265.0
"Pittsburg city",47564.0,31.1,61.1,7.7,96.0,21879.0,25685.0
"Laguna Hills CDP",46731.0,16.0,44.4,39.6,70.8,9720.0,37011.0
"Davis city",46209.0,16.6,77.2,6.2,93.0,19870.0,26339.0
"Apple Valley town",46079.0,31.8,58.3,9.9,93.8,20183.0,25896.0
"Roseville city",44685.0,27.3,61.5,11.3,90.2,17963.0,26722.0
"Laguna Niguel city",44400.0,23.9,69.2,6.9,95.9,20380.0,24020.0
"Poway city",43516.0,30.0,63.1,7.0,97.4,20627.0,22889.0
"Covina city",43207.0,25.3,63.9,10.8,89.2,16937.0,26270.0
"Petaluma city",43184.0,25.8,62.6,11.6,91.1,17749.0,25435.0
"Altadena CDP",42658.0,25.6,62.5,11.9,88.6,16466.0,26192.0
"Cypress city",42655.0,25.1,67.4,7.5,93.7,18640.0,24015.0
"Rowland Heights CDP",42647.0,28.8,64.4,6.8,95.1,19234.0,23413.0
"Bell Gardens city",42355.0,40.2,55.6,4.2,105.5,23507.0,18848.0
"Turlock city",42198.0,29.3,58.2,12.5,88.7,16331.0,25867.0
"North Highlands CDP",42105.0,28.5,62.8,8.7,92.4,17853.0,24252.0
"San Luis Obispo city",41958.0,13.8,74.0,12.2,104.8,22993.0,18965.0
"Rancho Palos Verdes city",41659.0,21.3,66.7,12.0,94.2,18413.0,23246.0
"Azusa city",41333.0,28.8,64.3,6.9,99.8,20584.0,20749.0
"Placentia city",41259.0,25.7,67.1,7.2,98.8,20134.0,21125.0
"San Clemente city",41100.0,21.2,65.8,13.0,101.9,21331.0,19769.0
"Manteca city",40773.0,32.4,59.5,8.2,97.3,19286.0,21487.0
"Victorville city",40674.0,31.0,57.4,11.6,93.9,17856.0,22818.0
"La Mirada city",40452.0,24.1,64.5,11.4,93.7,17678.0,22774.0
"Cupertino city",40263.0,21.8,69.3,8.8,98.6,19568.0,20695.0
"Colton city",40213.0,32.4,60.9,6.6,95.7,18377.0,21836.0
"Palm Springs city",40181.0,16.4,57.8,25.8,94.8,18001.0,22180.0
"Chico city",40079.0,18.6,72.4,9.0,99.8,19959.0,20120.0
"Woodland city",39802.0,29.2,59.5,11.2,91.5,16518.0,23284.0
"Lakeside CDP",39412.0,27.5,62.5,10.0,95.4,17893.0,21519.0
"San Marcos city",38974.0,27.1,58.2,14.7,98.7,18980.0,19994.0
"San Bruno city",38961.0,21.7,67.8,10.5,102.2,20338.0,18623.0
"Seaside city",38901.0,26.9,67.7,5.4,145.1,36995.0,1906.0
"Culver City city",38793.0,18.7,68.0,13.3,88.1,14780.0,24013.0
"Newark city",37861.0,28.2,66.5,5.3,100.8,19233.0,18628.0
"Pacifica city",37670.0,24.7,67.9,7.4,95.4,17102.0,20568.0
"Lompoc city",37649.0,29.0,62.6,8.5,112.9,23681.0,13968.0
"San Gabriel city",37120.0,24.3,62.3,13.4,88.5,14291.0,22829.0
"La Puente city",36955.0,32.5,61.5,6.0,101.7,19106.0,17849.0
"Indio city",36793.0,33.9,58.0,8.1,101.8,19059.0,17734.0
"Rohnert Park city",36326.0,26.9,65.6,7.5,91.0,14894.0,21432.0
"West Hollywood city",36118.0,7.1,74.6,18.3,114.6,23332.0,12786.0
"Hemet city",36094.0,16.8,41.1,42.1,78.4,10251.0,25843.0
"Campbell city",36048.0,19.7,71.0,9.3,95.5,16402.0,19646.0
"Monrovia city",35761.0,25.6,63.5,10.8,92.2,15091.0,20670.0
"San Ramon city",35303.0,26.8,68.9,4.3,96.6,16451.0,18852.0
"Highland city",34439.0,33.0,60.4,6.6,93.9,15119.0,19320.0
"Bell city",34365.0,34.2,59.3,6.5,105.4,19038.0,15327.0
"Tracy city",33558.0,31.3,60.6,8.1,98.8,16376.0,17182.0
"Tulare city",33249.0,34.4,54.8,10.7,87.0,12302.0,20947.0
"Brea city",32873.0,23.2,67.5,9.3,97.9,15746.0,17127.0
"Yucaipa city",32824.0,24.3,51.6,24.0,84.9,11456.0,21368.0
"Willowbrook CDP",32772.0,35.1,55.3,9.6,92.1,13797.0,18975.0
"Claremont city",32503.0,21.6,66.0,12.4,90.2,13066.0,19437.0
"San Dimas city",32397.0,26.2,64.5,9.4,93.5,14093.0,18304.0
"Manhattan Beach city",32063.0,16.4,75.0,8.6,104.4,17442.0,14621.0
"Beverly Hills city",31971.0,16.6,63.1,20.3,75.5,8153.0,23818.0
"Monterey city",31954.0,18.2,68.9,12.9,103.0,16936.0,15018.0
"Parkway-South Sacramento CDP",31903.0,33.7,56.2,10.0,86.4,11613.0,20290.0
"Dana Point city",31896.0,20.0,69.9,10.0,103.2,16969.0,14927.0
"Martinez city",31808.0,22.9,68.1,9.0,96.1,14663.0,17145.0
"Pleasant Hill city",31585.0,20.6,67.6,11.7,92.8,13518.0,18067.0
"Gilroy city",31487.0,32.7,59.6,7.7,97.1,14830.0,16657.0
"El Centro city",31384.0,35.8,56.2,8.0,90.8,12805.0,18579.0
"Danville city",31306.0,26.0,65.6,8.4,94.1,13806.0,17500.0
"Temple City city",31100.0,23.8,61.2,14.9,86.7,11414.0,19686.0
"Watsonville city",31099.0,31.3,56.2,12.6,93.8,13621.0,17478.0
"Westmont CDP",31044.0,35.8,59.3,4.8,79.9,9282.0,21762.0
"Hanford city",30897.0,31.2,57.8,11.0,90.2,12421.0,18476.0
"La Verne city",30897.0,26.2,61.0,12.8,89.4,12173.0,18724.0
"Casa de Oro-Mount Helix CDP",30727.0,24.8,64.6,10.6,97.1,14472.0,16255.0
"Stanton city",30491.0,26.1,63.9,10.0,99.3,15032.0,15459.0
"Cathedral City city",30085.0,26.8,59.3,13.9,102.5,15795.0,14290.0
"Folsom city",29802.0,21.1,70.2,8.7,167.9,35137.0,-5335.0
"Porterville city",29563.0,32.8,54.5,12.8,86.6,10820.0,18743.0
"Madera city",29281.0,33.9,54.6,11.6,91.2,12064.0,17217.0
"Walnut city",29105.0,32.6,63.5,3.9,96.6,13563.0,15542.0
"West Sacramento city",28898.0,27.9,59.0,13.1,98.4,13987.0,14911.0
"Montclair city",28434.0,31.1,61.1,7.8,97.1,13392.0,15042.0
"Foster City city",28176.0,20.5,72.5,7.0,95.8,12905.0,15271.0
"Saratoga city",28061.0,20.8,65.7,13.6,93.6,12235.0,15826.0
"Menlo Park city",28040.0,18.9,63.2,17.9,88.2,10711.0,17329.0
"Maywood city",27850.0,36.6,58.9,4.5,109.2,16487.0,11363.0
"Ridgecrest city",27725.0,29.7,63.4,6.9,103.9,14944.0,12781.0
"Chino Hills CDP",27608.0,32.1,65.4,2.5,99.4,13638.0,13970.0
"Yuba City city",27437.0,29.0,59.2,11.7,88.1,10453.0,16984.0
"Los Gatos town",27357.0,18.7,68.6,12.7,89.7,10861.0,16496.0
"Lawndale city",27331.0,27.1,67.2,5.7,104.6,14923.0,12408.0
"Temecula city",27099.0,32.9,60.8,6.3,101.6,13983.0,13116.0
"Eureka city",27025.0,24.9,60.2,14.9,91.1,11107.0,15918.0
"Fair Oaks CDP",26867.0,24.2,65.7,10.1,94.5,11956.0,14911.0
"Burlingame city",26801.0,16.4,64.9,18.8,84.9,9354.0,17447.0
"Oildale CDP",26553.0,28.4,58.2,13.4,87.6,9984.0,16569.0
"Coronado city",26540.0,12.0,75.0,13.0,209.0,42199.0,-15659.0
