"place","population","pct_under_18","pct_between_18_64","pct_over_64","male_female_ratio","male","female"
"Marysville city",12324.0,26.9,59.1,14.0,92.1,5188.0,7136.0
"Alamo CDP",12277.0,25.2,65.8,9.0,97.7,5856.0,6421.0
"Alondra Park CDP",12215.0,26.2,64.3,9.6,99.7,6071.0,6144.0
"Commerce city",12135.0,33.0,57.3,9.7,97.3,5740.0,6395.0
"Fillmore city",11992.0,33.0,55.5,11.5,105.1,6608.0,5384.0
"Oakdale city",11961.0,27.9,57.6,14.6,87.2,4449.0,7512.0
"Oroville city",11960.0,30.5,52.1,17.4,85.1,4198.0,7762.0
"Cameron Park CDP",11897.0,27.1,62.4,10.5,93.4,5163.0,6734.0
"Twentynine Palms city",11821.0,30.4,60.4,9.3,98.6,5745.0,6076.0
"Clearlake city",11804.0,24.1,51.0,24.9,87.9,4474.0,7330.0
"View Park-Windsor Hills CDP",11769.0,17.6,66.0,16.4,81.5,3707.0,8062.0
"San Anselmo town",11743.0,19.4,67.8,12.9,86.2,4251.0,7492.0
"Los Alamitos city",11676.0,23.7,65.9,10.4,90.9,4775.0,6901.0
"Desert Hot Springs city",11668.0,29.2,56.2,14.5,91.3,4819.0,6849.0
"Grover City city",11656.0,25.6,62.1,12.2,92.3,4930.0,6726.0
"Lamont CDP",11517.0,36.9,55.8,7.4,104.0,6219.0,5298.0
"Rancho Santa Margarita CDP",11390.0,26.1,71.9,2.0,101.2,5832.0,5558.0
"La Quinta city",11215.0,29.9,60.5,9.6,99.2,5518.0,5697.0
"Cherryland CDP",11088.0,24.2,63.5,12.3,92.9,4757.0,6331.0
"Larkspur city",11070.0,13.0,66.4,20.7,78.9,3199.0,7871.0
"La Riviera CDP",10986.0,22.9,71.2,5.9,98.2,5295.0,5691.0
"Grand Terrace city",10946.0,27.8,62.9,9.3,93.4,4751.0,6195.0
"Sierra Madre city",10762.0,19.1,65.8,15.1,89.9,4294.0,6468.0
"McKinleyville CDP",10749.0,28.1,62.4,9.5,96.4,4988.0,5761.0
"Hillsborough town",10667.0,22.2,61.0,16.8,90.6,4331.0,6336.0
"Piedmont city",10602.0,26.9,58.5,14.6,86.7,3891.0,6711.0
"Auburn city",10592.0,21.7,58.1,20.2,83.3,3527.0,7065.0
"Wildomar CDP",10411.0,27.1,57.1,15.8,93.5,4529.0,5882.0
"Dixon city",10401.0,31.4,60.6,8.1,97.8,4972.0,5429.0
"North Auburn CDP",10301.0,22.9,56.1,21.0,90.0,4120.0,6181.0
"Capitola city",10171.0,18.0,65.8,16.2,89.1,3977.0,6194.0
"Rossmoor CDP",9893.0,20.6,62.0,17.4,91.3,4086.0,5807.0
"El Sobrante CDP",9852.0,23.2,64.3,12.5,94.4,4374.0,5478.0
"Laguna CDP",9828.0,30.0,66.1,3.9,94.6,4383.0,5445.0
"Rancho Mirage city",9778.0,9.8,52.2,37.9,91.1,4019.0,5759.0
"Avenal city",9770.0,21.2,74.1,4.7,146.0,9379.0,391.0
"Olivehurst CDP",9738.0,34.8,55.2,10.0,93.0,4187.0,5551.0
"Alpine CDP",9695.0,25.2,62.9,12.0,98.4,4692.0,5003.0
"Beaumont city",9685.0,30.3,55.1,14.6,88.9,3767.0,5918.0
"Morro Bay city",9664.0,15.2,58.9,25.9,89.9,3856.0,5808.0
"Quartz Hill CDP",9626.0,31.1,60.9,7.9,97.6,4582.0,5044.0
"Tamalpais-Homestead Valley CDP",9601.0,17.8,74.1,8.2,93.0,4128.0,5473.0
"Citrus CDP",9481.0,33.7,61.4,5.0,98.7,4617.0,4864.0
"Rio Linda CDP",9481.0,30.5,61.3,8.1,96.8,4437.0,5044.0
"Healdsburg city",9469.0,26.3,58.3,15.4,88.3,3627.0,5842.0
"East La Mirada CDP",9367.0,24.5,65.6,9.9,94.7,4187.0,5180.0
"Country Club CDP",9325.0,23.2,59.5,17.4,92.0,3916.0,5409.0
"Arvin city",9286.0,36.9,55.6,7.5,106.1,5209.0,4077.0
"Soquel CDP",9188.0,22.9,64.6,12.5,87.5,3446.0,5742.0
"Aptos CDP",9061.0,19.4,67.1,13.5,93.7,3960.0,5101.0
"Grass Valley city",9048.0,23.1,53.4,23.4,71.2,1918.0,7130.0
"Fairview CDP",9045.0,24.3,66.2,9.6,95.7,4134.0,4911.0
"Magalia CDP",8987.0,17.3,47.1,35.6,90.2,3613.0,5374.0
"Rio del Mar CDP",8919.0,18.7,65.8,15.4,94.6,3978.0,4941.0
"Galt city",8889.0,30.6,57.0,12.4,93.7,3884.0,5005.0
"Half Moon Bay city",8886.0,24.2,66.5,9.3,102.4,4656.0,4230.0
"Pedley CDP",8869.0,33.1,60.5,6.3,97.8,4239.0,4630.0
"West Athens CDP",8859.0,31.6,63.1,5.3,93.5,3854.0,5005.0
"Charter Oak CDP",8858.0,26.6,64.4,8.9,89.6,3508.0,5350.0
"South Yuba City CDP",8816.0,28.9,61.2,9.9,96.6,4108.0,4708.0
"Fortuna city",8788.0,25.2,55.7,19.1,85.5,3120.0,5668.0
"Roseland CDP",8779.0,31.5,59.5,9.0,93.3,3801.0,4978.0
"Valle Vista CDP",8751.0,16.4,40.8,42.8,82.9,2879.0,5872.0
"Patterson city",8626.0,36.1,55.3,8.6,99.0,4227.0,4399.0
"Scotts Valley city",8615.0,23.3,62.0,14.7,93.1,3713.0,4902.0
"Crestline CDP",8594.0,29.5,62.1,8.4,97.5,4082.0,4512.0
"Garden Acres CDP",8547.0,30.8,58.4,10.8,102.0,4444.0,4103.0
"Riverbank city",8547.0,33.2,57.9,8.9,94.4,3795.0,4752.0
"Adelanto city",8517.0,36.4,58.3,5.3,100.5,4301.0,4216.0
"Oroville East CDP",8462.0,19.4,53.7,26.9,93.0,3639.0,4823.0
"Blythe city",8428.0,33.6,56.7,9.7,97.0,3961.0,4467.0
"Shafter city",8409.0,35.3,54.4,10.3,93.0,3616.0,4793.0
"Signal Hill city",8371.0,21.6,68.8,9.7,104.1,4529.0,3842.0
"Freedom CDP",8361.0,33.8,57.1,9.1,100.4,4214.0,4147.0
"Placerville city",8355.0,23.4,56.7,19.9,83.1,2766.0,5589.0
"Lindsay city",8338.0,34.3,53.5,12.1,95.4,3785.0,4553.0
"Anderson city",8299.0,32.4,53.0,14.6,77.8,2307.0,5992.0
"Corte Madera town",8272.0,17.9,68.6,13.6,88.0,3143.0,5129.0
"Coalinga city",8212.0,32.1,56.8,11.0,92.9,3523.0,4689.0
"Sonoma city",8121.0,18.1,51.4,30.5,72.8,1852.0,6269.0
"Del Aire CDP",8040.0,24.0,64.4,11.7,100.0,4020.0,4020.0
"Lake Los Angeles CDP",7977.0,40.5,56.7,2.8,101.6,4116.0,3861.0
"East Compton CDP",7967.0,39.2,57.6,3.2,98.1,3832.0,4135.0
"Canyon Lake CDP",7938.0,27.2,58.9,13.9,99.1,3898.0,4040.0
"Parlier city",7938.0,39.7,55.3,5.0,113.4,5033.0,2905.0
"Ben Lomond CDP",7884.0,27.8,65.3,6.9,102.6,4147.0,3737.0
"Woodcrest CDP",7796.0,27.8,65.1,7.1,101.0,3976.0,3820.0
"Rolling Hills Estates city",7789.0,21.7,65.4,12.9,93.2,3365.0,4424.0
"Home Gardens CDP",7780.0,34.5,59.8,5.7,108.6,4559.0,3221.0
"Mira Monte CDP",7744.0,24.6,59.5,15.9,96.0,3562.0,4182.0
"American Canyon CDP",7706.0,26.1,60.7,13.3,93.6,3360.0,4346.0
"South San Gabriel CDP",7700.0,27.2,62.1,10.6,97.0,3619.0,4081.0
"Pismo Beach city",7669.0,14.7,61.4,23.8,94.8,3436.0,4233.0
"King City city",7634.0,33.2,58.6,8.2,111.5,4695.0,2939.0
"Ojai city",7613.0,23.9,56.2,19.9,81.4,2390.0,5223.0
"Aliso Viejo CDP",7612.0,20.7,75.8,3.5,89.6,3014.0,4598.0
"Rodeo CDP",7589.0,29.3,59.8,10.9,88.5,2922.0,4667.0
"Brentwood city",7563.0,32.2,59.1,8.7,96.0,3479.0,4084.0
"Winton CDP",7559.0,38.8,55.4,5.8,97.8,3613.0,3946.0
"Muscoy CDP",7541.0,37.8,55.4,6.7,100.8,3831.0,3710.0
"Tiburon town",7532.0,17.9,67.9,14.2,85.0,2636.0,4896.0
"Los Altos Hills town",7514.0,21.1,65.6,13.3,99.9,3749.0,3765.0
"Greenfield city",7464.0,38.6,55.9,5.6,105.4,4135.0,3329.0
"South Oroville CDP",7463.0,33.6,52.6,13.8,87.2,2776.0,4687.0
"Ripon city",7455.0,34.0,56.8,9.2,92.7,3183.0,4272.0
"Westlake Village city",7455.0,21.1,65.8,13.1,91.2,3071.0,4384.0
"Marina del Rey CDP",7431.0,4.3,87.0,8.7,117.3,5001.0,2430.0
"Rosamond CDP",7430.0,30.7,62.1,7.3,107.4,4265.0,3165.0
"Prunedale CDP",7393.0,28.8,63.3,7.9,97.8,3534.0,3859.0
"Greenacres CDP",7379.0,31.6,61.1,7.3,99.3,3638.0,3741.0
"Clayton city",7317.0,29.5,65.1,5.4,97.9,3505.0,3812.0
"Livingston city",7317.0,38.8,56.4,4.8,107.2,4185.0,3132.0
"Susanville city",7279.0,28.6,56.9,14.5,91.7,3035.0,4244.0
"Exeter city",7276.0,30.8,53.6,15.6,86.2,2634.0,4642.0
"Lincoln city",7248.0,31.7,57.9,10.3,91.7,3022.0,4226.0
"Kingsburg city",7205.0,30.9,54.1,15.0,85.4,2551.0,4654.0
"Atherton town",7163.0,19.6,61.9,18.5,94.5,3188.0,3975.0
"Sausalito city",7152.0,8.7,80.6,10.7,98.2,3447.0,3705.0
"Soledad city",7146.0,37.2,57.0,5.7,107.7,4123.0,3023.0
"Nipomo CDP",7109.0,29.9,56.8,13.3,96.1,3277.0,3832.0
"Los Serranos CDP",7099.0,31.7,61.7,6.6,101.9,3684.0,3415.0
"McFarland city",7005.0,39.6,53.0,7.4,104.0,3783.0,3222.0
"Sebastopol city",7004.0,25.5,57.3,17.2,76.2,1835.0,5169.0
"Rancho San Diego CDP",6977.0,29.9,66.5,3.6,98.0,3349.0,3628.0
"Yreka city",6948.0,26.3,54.9,18.9,80.7,2133.0,4815.0
"Fairfax town",6931.0,19.6,70.8,9.6,90.4,2800.0,4131.0
"San Diego Country Estates CDP",6874.0,33.0,58.2,8.8,98.5,3334.0,3540.0
"Lathrop city",6841.0,34.7,58.9,6.4,102.0,3557.0,3284.0
"Mendota city",6821.0,37.7,57.7,4.6,131.0,5525.0,1296.0
"Larkfield-Wikiup CDP",6779.0,25.4,63.5,11.1,93.4,2942.0,3837.0
"Boulder Creek CDP",6725.0,28.5,66.1,5.4,106.0,3766.0,2959.0
"Lake Arrowhead CDP",6539.0,30.1,61.2,8.7,104.4,3557.0,2982.0
"Ione city",6516.0,11.0,84.6,4.3,593.4,35408.0,-28892.0
"El Rio CDP",6419.0,31.0,59.4,9.6,107.8,3710.0,2709.0
"Interlaken CDP",6404.0,32.9,59.7,7.4,103.4,3420.0,2984.0
"El Dorado Hills CDP",6395.0,31.7,62.1,6.2,97.5,3038.0,3357.0
"August CDP",6376.0,27.0,59.8,13.2,97.7,3041.0,3335.0
"Ladera Heights CDP",6316.0,17.2,63.2,19.7,83.5,2116.0,4200.0
"Villa Park city",6299.0,23.7,69.4,7.0,96.0,2898.0,3401.0
"Farmersville city",6235.0,39.2,52.2,8.6,97.6,2968.0,3267.0
"La Habra Heights city",6226.0,22.4,65.5,12.1,98.4,3013.0,3213.0
"Blackhawk CDP",6199.0,28.2,67.7,4.1,101.1,3168.0,3031.0
"Oceano CDP",6169.0,29.3,59.3,11.4,99.5,3054.0,3115.0
"Fort Bragg city",6078.0,25.1,58.8,16.1,88.1,2316.0,3762.0
"Kentfield CDP",6030.0,20.1,63.2,16.7,91.0,2472.0,3558.0
"Willows city",5988.0,32.5,54.5,13.0,90.5,2425.0,3563.0
"Lucas Valley-Marinwood CDP",5982.0,24.1,65.5,10.4,87.3,2231.0,3751.0
"Boyes Hot Springs CDP",5973.0,25.3,63.6,11.1,101.2,3058.0,2915.0
"Vandenberg Village CDP",5971.0,21.9,61.7,16.4,91.7,2490.0,3481.0
"California City city",5955.0,31.3,60.4,8.2,102.6,3132.0,2823.0
"Cherry Valley CDP",5945.0,21.2,53.5,25.3,88.6,2295.0,3650.0
"Opal Cliffs CDP",5940.0,17.9,68.1,14.0,99.5,2940.0,3000.0
"Chowchilla city",5930.0,28.8,53.6,17.5,86.8,2182.0,3748.0
"East Pasadena CDP",5910.0,23.6,61.9,14.5,97.0,2778.0,3132.0
"Taft city",5902.0,26.8,60.1,13.1,97.6,2809.0,3093.0
"Earlimart CDP",5881.0,42.3,51.8,5.9,107.7,3393.0,2488.0
"Corning city",5870.0,31.4,53.2,15.4,84.3,2013.0,3857.0
"Tehachapi city",5791.0,30.4,57.0,12.6,95.6,2641.0,3150.0
"East Porterville CDP",5790.0,36.7,53.7,9.6,103.6,3103.0,2687.0
"Emeryville city",5740.0,12.5,78.7,8.7,98.1,2761.0,2979.0
"Cotati city",5714.0,26.4,67.0,6.6,87.7,2154.0,3560.0
"Alta Sierra CDP",5709.0,23.0,56.3,20.7,94.9,2563.0,3146.0
"Bonadelle Ranchos-Madera Ranchos CDP",5705.0,34.5,60.4,5.1,98.9,2790.0,2915.0
"Loomis town",5705.0,28.9,61.1,10.0,99.0,2795.0,2910.0
"Woodlake city",5678.0,37.4,53.8,8.8,102.4,2975.0,2703.0
"Mentone CDP",5675.0,29.3,59.2,11.5,91.5,2355.0,3320.0
"Thermalito CDP",5646.0,27.0,54.6,18.4,89.8,2247.0,3399.0
"Palm Desert Country CDP",5626.0,16.4,61.1,22.5,89.2,2205.0,3421.0
"Orange Cove city",5604.0,39.1,54.8,6.1,122.8,4080.0,1524.0
"March AFB CDP",5523.0,26.5,68.5,5.0,174.6,6882.0,-1359.0
"Orosi CDP",5486.0,35.4,55.6,9.0,121.4,3917.0,1569.0
"Guadalupe city",5479.0,37.1,55.0,7.8,106.2,3079.0,2400.0
"West Compton CDP",5451.0,29.2,62.2,8.6,86.9,2011.0,3440.0
"Kerman city",5448.0,35.7,54.6,9.7,92.5,2315.0,3133.0
"Golden Hills CDP",5423.0,37.6,57.1,5.3,101.3,2782.0,2641.0
"Cambria CDP",5382.0,17.4,58.2,24.4,89.4,2121.0,3261.0
"Twin Lakes CDP",5379.0,17.1,68.0,14.9,95.4,2442.0,2937.0
"Big Bear Lake city",5351.0,23.2,63.3,13.5,101.5,2756.0,2595.0
"Discovery Bay CDP",5351.0,21.0,72.4,6.6,104.0,2890.0,2461.0
"Felton CDP",5350.0,25.6,64.5,9.9,99.7,2659.0,2691.0
"Castroville CDP",5272.0,37.5,56.5,6.0,107.5,3031.0,2241.0
"Palermo CDP",5260.0,26.5,56.9,16.6,93.6,2293.0,2967.0
"Madera Acres CDP",5245.0,37.7,58.1,4.3,100.2,2633.0,2612.0
"Needles city",5191.0,29.6,53.9,16.5,89.5,2050.0,3141.0
"Lakeland Village CDP",5159.0,27.4,61.0,11.6,104.8,2827.0,2332.0
"Del Monte Forest CDP",5069.0,13.2,54.1,32.7,88.4,1946.0,3123.0
"Orland city",5052.0,30.4,52.7,16.9,85.0,1768.0,3284.0
"Woodside town",5035.0,19.7,65.8,14.6,95.3,2281.0,2754.0
"Willits city",5027.0,31.0,55.4,13.6,87.0,1860.0,3167.0
"Tara Hills CDP",4998.0,23.6,68.7,7.7,95.9,2294.0,2704.0
"St. Helena city",4990.0,21.3,53.6,25.1,83.8,1687.0,3303.0
"Mayflower Village CDP",4978.0,23.4,60.2,16.4,87.7,1877.0,3101.0
"Kensington CDP",4974.0,16.1,61.4,22.5,87.5,1865.0,3109.0
"Colusa city",4934.0,30.5,57.6,11.9,98.3,2383.0,2551.0
"Cloverdale city",4924.0,28.6,57.6,13.7,97.6,2344.0,2580.0
"Big Bear City CDP",4920.0,30.5,58.8,10.7,92.6,2096.0,2824.0
"Burbank CDP",4902.0,22.1,65.8,12.1,96.5,2279.0,2623.0
"Del Mar city",4860.0,12.3,75.8,11.9,104.3,2639.0,2221.0
"Holtville city",4820.0,35.2,55.2,9.6,88.4,1851.0,2969.0
"Mammoth Lakes town",4785.0,21.8,75.9,2.3,135.6,4096.0,689.0
"Durham CDP",4784.0,27.5,59.5,13.0,103.5,2559.0,2225.0
"Waterford city",4771.0,35.4,54.0,10.7,95.5,2171.0,2600.0
"Huron city",4766.0,35.1,62.4,2.5,166.3,5543.0,-777.0
"Solvang city",4741.0,19.6,57.0,23.4,84.0,1612.0,3129.0
"Rosedale CDP",4673.0,33.6,61.3,5.0,101.2,2393.0,2280.0
"Gonzales city",4660.0,37.5,55.8,6.7,107.9,2698.0,1962.0
"Calimesa CDP",4647.0,23.6,51.6,24.7,87.0,1719.0,2928.0
"Winters city",4639.0,33.3,57.9,8.8,93.9,2037.0,2602.0
"Gridley city",4631.0,29.9,52.1,17.9,83.5,1551.0,3080.0
"Bermuda Dunes CDP",4571.0,23.0,65.1,12.0,93.2,1975.0,2596.0
"Salida CDP",4499.0,33.3,58.9,7.7,100.5,2272.0,2227.0
"El Cerrito CDP",4490.0,33.9,60.9,5.2,102.5,2357.0,2133.0
"Calistoga city",4468.0,19.7,52.4,27.8,86.7,1640.0,2828.0
"Cutler CDP",4450.0,40.2,56.2,3.7,142.9,4134.0,316.0
"Escalon city",4437.0,30.2,54.1,15.7,88.7,1717.0,2720.0
"Firebaugh city",4429.0,39.6,53.9,6.5,108.2,2578.0,1851.0
"El Granada CDP",4426.0,26.7,67.7,5.6,105.8,2470.0,1956.0
"Myrtletown CDP",4413.0,27.0,59.4,13.6,89.8,1756.0,2657.0
"Carmel Valley Village CDP",4407.0,21.1,63.8,15.0,92.2,1860.0,2547.0
"Lakeport city",4390.0,22.8,55.2,22.0,87.5,1646.0,2744.0
"Crescent City city",4380.0,31.2,54.9,13.9,84.1,1494.0,2886.0
"Strawberry CDP",4377.0,15.6,71.7,12.7,87.1,1624.0,2753.0
"Central Valley CDP",4340.0,30.4,55.5,14.1,87.5,1628.0,2712.0
"Live Oak city",4320.0,32.2,57.5,10.4,92.5,1836.0,2484.0
"Pollock Pines CDP",4291.0,25.8,59.4,14.8,97.2,2025.0,2266.0
"Quincy-East Quincy CDP",4271.0,27.3,58.8,14.0,92.4,1811.0,2460.0
"Carmel-by-the-Sea city",4239.0,10.0,55.1,34.8,71.8,924.0,3315.0
"Lincoln Village CDP",4236.0,25.9,59.5,14.6,88.1,1614.0,2622.0
"Rancho Rinconada CDP",4206.0,24.8,68.3,7.0,109.9,2519.0,1687.0
"Santa Ynez CDP",4200.0,25.0,61.5,13.4,90.9,1718.0,2482.0
"Dos Palos city",4196.0,35.5,53.0,11.5,94.0,1846.0,2350.0
"Running Springs CDP",4195.0,30.2,62.9,6.9,102.6,2207.0,1988.0
"Portola Valley town",4194.0,19.0,62.0,19.0,94.4,1862.0,2332.0
"Sonora city",4153.0,20.3,58.9,20.8,82.5,1350.0,2803.0
"Newman city",4151.0,33.9,55.2,10.9,94.5,1847.0,2304.0
"South Santa Rosa CDP",4128.0,27.6,61.1,11.3,99.5,2043.0,2085.0
"Thousand Palms CDP",4122.0,23.9,48.8,27.3,94.4,1830.0,2292.0
"Imperial city",4113.0,33.1,58.9,8.1,89.3,1616.0,2497.0
"Bayview-Montalvin CDP",3988.0,31.7,62.3,6.0,94.2,1763.0,2225.0
"West Menlo Park CDP",3959.0,17.8,63.0,19.2,82.9,1303.0,2656.0
"Gustine city",3931.0,26.9,55.1,18.0,92.4,1667.0,2264.0
"Joshua Tree CDP",3898.0,25.5,49.7,24.8,85.6,1388.0,2510.0
"Lake Of The Pines CDP",3890.0,24.0,50.5,25.5,92.0,1634.0,2256.0
"Wilton CDP",3858.0,27.0,65.5,7.5,99.5,1910.0,1948.0
"Crescent City North CDP",3853.0,32.6,55.6,11.7,92.6,1641.0,2212.0
"Lake San Marcos CDP",3802.0,4.8,33.6,61.6,79.1,1106.0,2696.0
"Arnold CDP",3788.0,23.9,56.3,19.8,97.5,1799.0,1989.0
"Ford City CDP",3781.0,30.6,55.4,14.0,89.0,1475.0,2306.0
"Sunnyslope CDP",3766.0,33.4,58.9,7.7,96.2,1740.0,2026.0
"Mojave CDP",3763.0,31.8,59.9,8.2,110.6,2280.0,1483.0
"Broadmoor CDP",3739.0,23.4,62.1,14.4,91.6,1555.0,2184.0
"Denair CDP",3693.0,34.2,55.6,10.2,92.4,1566.0,2127.0
"Oak View CDP",3606.0,30.7,60.7,8.6,100.3,1814.0,1792.0
"Morada CDP",3570.0,23.5,61.5,15.1,99.9,1781.0,1789.0
"Phoenix Lake-Cedar Ridge CDP",3569.0,25.2,58.6,16.1,95.6,1627.0,1942.0
"Jackson city",3545.0,19.2,49.5,31.3,80.1,1067.0,2478.0
"Planada CDP",3531.0,38.9,53.8,7.3,111.3,2165.0,1366.0
"Buellton CDP",3506.0,25.1,59.5,15.4,98.9,1714.0,1792.0
"Angwin CDP",3503.0,18.3,71.5,10.2,92.7,1496.0,2007.0
"El Verano CDP",3498.0,28.5,61.7,9.8,92.7,1494.0,2004.0
"Truckee CDP",3484.0,27.8,65.0,7.1,110.5,2108.0,1376.0
"Bishop city",3475.0,20.8,56.0,23.2,86.6,1272.0,2203.0
"Mount Shasta city",3460.0,27.4,56.9,15.7,82.8,1135.0,2325.0
"Woodbridge CDP",3456.0,31.2,60.0,8.9,104.8,1894.0,1562.0
"Burney CDP",3423.0,31.7,55.3,13.0,93.9,1503.0,1920.0
"Hilmar-Irwin CDP",3392.0,29.7,56.4,13.9,95.4,1540.0,1852.0
"North El Monte CDP",3384.0,23.8,61.3,14.9,87.6,1272.0,2112.0
"Weaverville CDP",3370.0,26.9,55.1,18.0,86.3,1223.0,2147.0
"Santa Venetia CDP",3362.0,20.3,65.6,14.1,93.2,1452.0,1910.0
"Pajaro CDP",3332.0,37.4,58.0,4.7,127.0,2566.0,766.0
"Meiners Oaks CDP",3329.0,28.4,57.1,14.5,88.8,1292.0,2037.0
"Emerald Lake Hills CDP",3328.0,22.6,67.4,10.0,99.3,1641.0,1687.0
"Pacheco CDP",3325.0,15.9,65.2,18.9,87.0,1230.0,2095.0
"Lake Isabella CDP",3323.0,22.2,47.1,30.8,85.1,1166.0,2157.0
"Channel Islands Beach CDP",3317.0,19.2,74.6,6.2,122.4,2402.0,915.0
"Rio Vista city",3316.0,25.0,57.3,17.8,94.2,1466.0,1850.0
"Homeland CDP",3312.0,16.8,41.7,41.5,89.9,1321.0,1991.0
"Wrightwood CDP",3308.0,29.1,61.2,9.7,98.7,1611.0,1697.0
"Ivanhoe CDP",3293.0,36.3,54.1,9.6,99.9,1643.0,1650.0
"Monte Sereno city",3287.0,21.5,67.4,11.1,96.3,1522.0,1765.0
"Casa Conejo CDP",3286.0,26.4,66.3,7.3,100.6,1663.0,1623.0
"Delhi CDP",3280.0,34.7,56.4,8.9,100.4,1653.0,1627.0
"East Richmond Heights CDP",3266.0,21.1,65.7,13.2,92.8,1398.0,1868.0
"Hughson city",3259.0,31.6,57.3,11.0,91.6,1356.0,1903.0
"Yountville town",3259.0,10.3,41.8,47.9,177.1,4142.0,-883.0
"Alturas city",3231.0,27.4,54.8,17.8,87.9,1225.0,2006.0
"Crockett CDP",3228.0,19.4,64.4,16.2,93.4,1401.0,1827.0
"Vine Hill CDP",3214.0,28.0,64.7,7.3,100.7,1629.0,1585.0
"Fowler city",3208.0,31.8,53.8,14.4,89.6,1270.0,1938.0
"Trabuco Highlands CDP",3191.0,33.5,64.8,1.7,96.1,1471.0,1720.0
"Lenwood CDP",3190.0,34.6,58.8,6.6,99.0,1563.0,1627.0
"Highgrove CDP",3175.0,32.5,61.6,5.9,103.9,1711.0,1464.0
"Granite Hills CDP",3157.0,23.9,63.9,12.2,104.4,1717.0,1440.0
"Armona CDP",3122.0,37.4,54.5,8.1,93.0,1342.0,1780.0
"Mission Hills CDP",3112.0,30.4,61.3,8.3,97.6,1481.0,1631.0
"Loyola CDP",3076.0,21.1,64.3,14.6,96.4,1427.0,1649.0
"Meadow Vista CDP",3067.0,23.6,62.3,14.1,98.6,1491.0,1576.0
"Weed city",3062.0,26.9,54.4,18.7,86.0,1102.0,1960.0
"Palmdale East CDP",3052.0,36.3,55.7,7.9,98.3,1474.0,1578.0
"French Camp CDP",3018.0,22.1,70.9,7.0,233.0,5523.0,-2505.0
"Rio Dell city",3012.0,28.6,57.4,13.9,92.5,1280.0,1732.0
"Nuevo CDP",3010.0,30.0,58.2,11.8,98.1,1448.0,1562.0
"Sedco Hills CDP",3008.0,25.8,53.2,20.9,92.5,1278.0,1730.0
"Moss Beach CDP",3002.0,26.6,66.2,7.2,98.5,1456.0,1546.0
"Cambrian Park CDP",2998.0,24.3,62.9,12.8,98.9,1466.0,1532.0
"Cayucos CDP",2960.0,17.6,56.5,25.9,88.2,1131.0,1829.0
"Brisbane city",2952.0,18.2,72.4,9.4,104.2,1600.0,1352.0
"Pine Hills CDP",2947.0,27.5,63.1,9.4,94.3,1306.0,1641.0
"San Antonio Heights CDP",2935.0,24.8,65.8,9.5,98.7,1429.0,1506.0
"Avalon city",2918.0,25.4,62.9,11.7,110.1,1754.0,1164.0
"West Bishop CDP",2908.0,25.7,59.4,15.0,95.7,1329.0,1579.0
"Templeton CDP",2887.0,29.9,56.6,13.5,80.2,872.0,2015.0
"Keyes CDP",2878.0,28.4,55.3,16.3,95.2,1301.0,1577.0
"Tierra Buena CDP",2878.0,26.8,61.7,11.5,96.7,1344.0,1534.0
"Diamond Springs CDP",2872.0,29.0,53.3,17.6,86.1,1037.0,1835.0
"Humboldt Hill CDP",2865.0,24.9,61.1,14.0,96.0,1318.0,1547.0
"Kelseyville CDP",2861.0,29.5,51.0,19.5,83.9,970.0,1891.0
"Nevada City city",2855.0,21.8,59.1,19.1,88.9,1111.0,1744.0
"Coto De Caza CDP",2853.0,30.2,66.4,3.4,96.3,1321.0,1532.0
"Idyllwild-Pine Cove CDP",2853.0,23.7,60.5,15.9,86.8,1050.0,1803.0
"Day Valley CDP",2842.0,29.0,64.2,6.8,98.2,1370.0,1472.0
"Point Dume CDP",2809.0,14.4,68.1,17.5,91.0,1152.0,1657.0
"Kings Beach CDP",2796.0,26.4,69.8,3.8,136.2,2410.0,386.0
"Groveland-Big Oak Flat CDP",2753.0,18.7,54.9,26.4,96.9,1291.0,1462.0
"Searles Valley CDP",2740.0,34.3,56.5,9.2,106.8,1556.0,1184.0
"Terra Bella CDP",2740.0,37.9,54.8,7.3,118.2,1869.0,871.0
"Lockeford CDP",2722.0,30.0,56.9,13.1,99.4,1345.0,1377.0
"Calipatria city",2690.0,39.9,52.1,8.1,89.5,1063.0,1627.0
"Portola Hills CDP",2677.0,28.7,68.8,2.5,102.2,1397.0,1280.0
"Indian Wells city",2647.0,9.0,53.0,38.1,91.9,1109.0,1538.0
"Highlands CDP",2644.0,23.4,63.7,12.9,98.0,1269.0,1375.0
"Sutter CDP",2606.0,31.4,57.0,11.6,93.1,1123.0,1483.0
"Hayfork CDP",2605.0,30.4,58.5,11.2,99.1,1279.0,1326.0
"Oakhurst CDP",2602.0,21.9,51.2,26.9,79.6,770.0,1832.0
"Mono Vista CDP",2599.0,30.3,58.1,11.6,94.0,1144.0,1455.0
"Heber CDP",2566.0,36.7,57.1,6.2,87.5,962.0,1604.0
"Dixon Lane-Meadow Creek CDP",2561.0,24.6,52.2,23.3,88.7,991.0,1570.0
"Montara CDP",2552.0,26.5,67.8,5.8,98.7,1243.0,1309.0
"Corralitos CDP",2513.0,24.4,60.1,15.5,97.6,1196.0,1317.0
"Mountain View Acres CDP",2469.0,34.2,58.7,7.1,96.5,1148.0,1321.0
"Pixley CDP",2457.0,36.0,54.2,9.8,92.1,1034.0,1423.0
