Country Name,Country Code,Indicator Name,Indicator Code,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,AFG,"PNG, commercial banks and other creditors (NTR, current US$)",DT.NTR.PNGC.CD,0,0,0,0,0,0,0,0,0,0
Afghanistan,AFG,"PPG, bilateral (AMT, current US$)",DT.AMT.BLAT.CD,0,0,0,2259000,0,0,0,0,1983333.3,2233333.3
Afghanistan,AFG,"PPG, bilateral (INT, current US$)",DT.INT.BLAT.CD,0,0,0,0,0,0,0,0,0,0
Afghanistan,AFG,"PPG, bilateral concessional (AMT, current US$)",DT.AMT.BLTC.CD,0,0,0,2259000,0,0,0,0,1983333.3,2233333.3
Afghanistan,AFG,"PPG, bilateral concessional (INT, current US$)",DT.INT.BLTC.CD,0,0,0,0,0,0,0,0,0,0
Afghanistan,AFG,"PPG, bilateral concessional (TDS, current US$)",DT.TDS.BLTC.CD,0,0,0,2259000,0,0,0,0,1983333.3,2233333.3
Afghanistan,AFG,"PPG, bonds (DOD, current US$)",DT.DOD.PBND.CD,0,0,0,0,0,0,0,0,0,0
Afghanistan,AFG,"PPG, bonds (NTR, current US$)",DT.NTR.PBND.CD,0,0,0,0,0,0,0,0,0,0
Afghanistan,AFG,"PPG, commercial banks (DIS, current US$)",DT.DIS.PCBK.CD,0,0,0,0,0,0,0,0,0,0
Afghanistan,AFG,"PPG, commercial banks (NFL, current US$)",DT.NFL.PCBK.CD,0,0,0,0,0,0,0,0,0,0
Afghanistan,AFG,"PPG, IBRD (AMT, current US$)",DT.AMT.MIBR.CD,0,0,0,0,0,0,0,0,0,0
Afghanistan,AFG,"PPG, IBRD (INT, current US$)",DT.INT.MIBR.CD,0,0,0,0,0,0,0,0,0,0
Afghanistan,AFG,"PPG, IDA (AMT, current US$)",DT.AMT.MIDA.CD,2514000,0,415000,431000,5000,0,0,154000,6130000,7757000
Afghanistan,AFG,"PPG, IDA (INT, current US$)",DT.INT.MIDA.CD,2866000,0,1834000,1950000,2375000,1885000,1920000,2215000,3141000,2834000
Afghanistan,AFG,"PPG, multilateral (AMT, current US$)",DT.AMT.MLAT.CD,3493000,1272000,1296000,881000,966000,862000,1611879.8,4158198.4,10119000,16454717.7
Afghanistan,AFG,"PPG, multilateral (INT, current US$)",DT.INT.MLAT.CD,5766252.2,3242050.9,5996000,6530000,7709000,8885904.9,8300000,7525164,9145734.6,8728365.4
Afghanistan,AFG,"PPG, multilateral concessional (DIS, current US$)",DT.DIS.MLTC.CD,106701984.6,140117058.4,95796325.3,108774066.3,76001339.8,62241085.3,52059123,36656261.1,21617754.5,8044694
